,Entrance,Clearing
113,2018-03-23 10:58:00,2018-03-23 11:01:00
114,2018-03-23 14:31:00,2018-03-23 14:32:00
115,2018-03-26 09:46:00,2018-03-26 09:49:00
116,2018-03-26 11:16:00,2018-03-26 11:19:00
117,2018-03-26 11:55:00,2018-03-26 11:58:00
118,2018-03-27 10:01:00,2018-03-27 10:04:00
119,2018-03-27 13:08:00,2018-03-27 13:11:00
120,2018-03-27 15:20:00,2018-03-27 15:23:00
121,2018-03-28 11:10:00,2018-03-28 11:13:00
122,2018-03-28 12:59:00,2018-03-28 13:02:00
123,2018-03-29 09:39:00,2018-03-29 09:42:00
124,2018-04-02 14:51:00,2018-04-02 14:54:00
125,2018-04-03 13:29:00,2018-04-03 13:32:00
126,2018-04-03 15:09:00,2018-04-03 15:12:00
127,2018-04-04 13:05:00,2018-04-04 13:08:00
128,2018-04-06 10:05:00,2018-04-06 10:08:00
129,2018-04-10 09:13:00,2018-04-10 09:16:00
130,2018-04-12 09:11:00,2018-04-12 09:14:00
131,2018-04-13 09:27:00,2018-04-13 09:30:00
132,2018-04-13 14:13:00,2018-04-13 14:16:00
133,2018-04-19 09:17:00,2018-04-19 09:19:00
134,2018-04-20 09:40:00,2018-04-20 09:43:00
135,2018-04-20 10:04:00,2018-04-20 10:07:00
136,2018-04-23 09:23:00,2018-04-23 09:26:00
137,2018-04-23 10:28:00,2018-04-23 10:31:00
138,2018-04-24 14:45:00,2018-04-24 14:48:00
139,2018-04-24 15:17:00,2018-04-24 15:20:00
140,2018-04-25 11:07:00,2018-04-25 11:10:00
141,2018-04-26 11:42:00,2018-04-26 11:45:00
142,2018-04-30 09:38:00,2018-04-30 09:41:00
143,2018-04-30 09:47:00,2018-04-30 09:50:00
144,2018-05-02 13:46:00,2018-05-02 13:49:00
145,2018-05-03 10:24:00,2018-05-03 10:27:00
146,2018-05-04 09:27:00,2018-05-04 09:30:00
147,2018-05-08 14:04:00,2018-05-08 14:07:00
148,2018-05-08 14:29:00,2018-05-08 14:32:00
149,2018-05-08 14:54:00,2018-05-08 14:57:00
150,2018-05-09 10:52:00,2018-05-09 10:55:00
151,2018-05-09 11:29:00,2018-05-09 11:32:00
152,2018-05-10 09:26:00,2018-05-10 09:29:00
153,2018-05-10 11:22:00,2018-05-10 11:25:00
154,2018-05-10 13:38:00,2018-05-10 13:41:00
